DateTime," NDSI (Landsat 5/7/8 SR) at Polygon 1, 2019-08-03 to 2021-10-18"," NDSI (Landsat 5/7/8 SR) at Polygon 2, 2019-08-03 to 2021-10-18"
8/9/2019,-0.523,-0.5406
8/17/2019,-0.5407,
8/18/2019,-0.5059,-0.5154
8/25/2019,-0.5013,-0.4997
8/26/2019,-0.5217,-0.544
9/2/2019,-0.5322,-0.555
9/3/2019,-0.4978,-0.5056
9/10/2019,-0.3996,-0.5008
9/11/2019,-0.5247,-0.5414
9/18/2019,-0.5092,
9/19/2019,-0.5125,-0.5139
9/26/2019,-0.3521,-0.3246
9/27/2019,-0.518,-0.5364
10/4/2019,-0.5115,-0.5227
10/5/2019,-0.3881,
10/12/2019,-0.4338,-0.2692
10/13/2019,-0.53,-0.5353
10/20/2019,-0.5162,-0.4694
11/5/2019,-0.3237,-0.2646
11/6/2019,-0.3407,-0.146
11/13/2019,-0.2785,
11/14/2019,-0.4846,-0.4423
11/29/2019,0.0355,0.3788
12/7/2019,-0.3809,-0.3244
12/31/2019,0.0058,0.4123
1/8/2020,-0.4,-0.3478
1/9/2020,-0.3155,-0.1019
1/24/2020,-0.4023,-0.2972
1/25/2020,-0.3817,-0.059
2/2/2020,-0.4099,-0.2664
2/10/2020,0.7995,
2/17/2020,0.2183,0.3426
2/26/2020,-0.0243,0.3057
3/4/2020,-0.2425,0.003
3/5/2020,-0.3233,-0.2715
3/21/2020,-0.1356,
3/28/2020,-0.1234,
4/5/2020,-0.4879,-0.3333
4/6/2020,-0.5045,-0.4621
4/13/2020,-0.2381,
4/14/2020,-0.0519,
4/21/2020,-0.4731,-0.4153
4/29/2020,-0.5138,-0.5482
5/7/2020,-0.4891,-0.4971
5/8/2020,-0.5022,-0.5318
5/16/2020,-0.4835,
5/23/2020,-0.4676,-0.3058
5/31/2020,-0.5171,-0.5474
6/1/2020,-0.4927,-0.5038
6/8/2020,-0.5173,-0.5295
6/16/2020,-0.4718,-0.4948
6/17/2020,-0.4847,-0.4685
6/24/2020,-0.367,
7/2/2020,-0.5241,-0.5177
7/3/2020,-0.3908,-0.2423
7/10/2020,-0.5213,-0.5398
7/11/2020,-0.5182,-0.5487
7/19/2020,-0.4112,-0.4004
7/26/2020,-0.5036,-0.4869
7/27/2020,-0.3323,
8/3/2020,-0.5196,-0.5269
8/11/2020,-0.5122,-0.2227
8/12/2020,-0.5291,
8/19/2020,-0.4855,-0.5445
8/20/2020,-0.4399,-0.3566
8/27/2020,-0.5205,-0.5167
8/28/2020,-0.4506,-0.4761
9/4/2020,-0.5365,-0.5624
9/5/2020,-0.5112,-0.5132
9/12/2020,-0.5244,-0.519
9/13/2020,-0.5297,-0.5535
9/20/2020,-0.5116,-0.5272
9/21/2020,-0.4997,-0.4804
9/28/2020,-0.4948,-0.4643
9/29/2020,-0.5318,-0.5535
10/6/2020,-0.5266,-0.5456
10/7/2020,-0.4834,-0.4517
10/14/2020,-0.5161,-0.4984
10/22/2020,-0.524,-0.5376
10/30/2020,-0.3384,-0.0506
10/31/2020,-0.4743,-0.3156
11/8/2020,-0.4878,-0.4235
11/15/2020,-0.4847,-0.4043
11/16/2020,-0.5175,-0.5222
11/23/2020,-0.4676,-0.396
12/9/2020,-0.2585,-0.2877
12/17/2020,0.0445,0.1217
12/25/2020,-0.4078,-0.354
12/26/2020,-0.3416,0.0231
1/2/2021,-0.0675,0.1937
1/3/2021,-0.3126,-0.3634
1/10/2021,-0.2834,-0.1472
1/11/2021,-0.2452,0.1676
1/18/2021,-0.1586,-0.052
1/27/2021,0.6271,
2/3/2021,-0.3832,-0.0945
2/4/2021,-0.4419,
2/11/2021,-0.4677,-0.3044
2/12/2021,-0.4006,-0.1208
2/19/2021,-0.0239,0.2637
2/20/2021,-0.2458,-0.2666
2/28/2021,-0.2962,-0.014
3/7/2021,-0.2817,0.0555
3/24/2021,-0.0788,
3/31/2021,-0.389,-0.321
4/1/2021,-0.3914,-0.1401
4/8/2021,-0.2865,
4/9/2021,-0.5016,-0.4671
4/24/2021,-0.4918,-0.463
4/25/2021,-0.5046,-0.5288
5/2/2021,-0.4986,-0.5417
5/19/2021,-0.4791,-0.4865
5/26/2021,-0.3378,
5/27/2021,-0.5121,-0.5406
6/3/2021,-0.5196,-0.5098
6/4/2021,-0.5041,-0.513
6/11/2021,-0.4952,-0.4838
6/12/2021,-0.5078,-0.5321
6/19/2021,-0.3701,
6/20/2021,-0.4997,-0.4967
7/5/2021,-0.5317,-0.5558
7/6/2021,-0.5033,-0.5019
7/13/2021,-0.0444,-0.2947
7/21/2021,-0.5307,-0.5424
7/22/2021,-0.5015,-0.5083
7/29/2021,-0.5078,-0.5034
7/30/2021,-0.5201,-0.5462
8/6/2021,-0.4839,-0.5469
8/7/2021,-0.1665,
8/14/2021,-0.5041,-0.5117
8/15/2021,-0.4979,-0.5315
8/22/2021,-0.535,-0.5493
8/23/2021,-0.4751,-0.4798
8/30/2021,-0.4857,-0.4295
8/31/2021,-0.5106,-0.4809
9/7/2021,-0.4919,-0.5212
9/8/2021,-0.4849,-0.4293
9/15/2021,-0.5315,-0.5198
9/16/2021,-0.5318,-0.5443
9/24/2021,-0.5011,-0.4611
10/1/2021,-0.1116,0.1143
10/2/2021,-0.4922,-0.5141
10/9/2021,-0.5312,-0.546
10/10/2021,-0.4965,-0.4551
10/17/2021,-0.5267,-0.4979
10/18/2021,-0.4934,-0.5383
