"DateTime"," NDVI (Landsat 5/7/8 SR) at Polygon 1, 2019-08-03 to 2021-10-18"," NDVI (Landsat 5/7/8 SR) at Polygon 2, 2019-08-03 to 2021-10-18"
"2019-08-09",0.2812,0.486
"2019-08-17",0.5179
"2019-08-18",0.249,0.467
"2019-08-25",0.2387,0.4408
"2019-08-26",0.2693,0.502
"2019-09-02",0.2669,0.5115
"2019-09-03",0.2146,0.4576
"2019-09-10",0.2239,0.4826
"2019-09-11",0.2691,0.515
"2019-09-18",0.2748
"2019-09-19",0.2244,0.471
"2019-09-26",0.1729,0.304
"2019-09-27",0.2525,0.4956
"2019-10-04",0.2445,0.544
"2019-10-05",0.1672
"2019-10-12",0.1768,0.2828
"2019-10-13",0.228,0.4976
"2019-10-20",0.2247,0.513
"2019-11-05",0.1756,0.4112
"2019-11-06",0.1371,0.3551
"2019-11-13",0.1089
"2019-11-14",0.2068,0.5139
"2019-11-29",0.0574,0.3276
"2019-12-07",0.1897,0.607
"2019-12-31",0.0646,0.3989
"2020-01-08",0.1904,0.6038
"2020-01-09",0.1081,0.3502
"2020-01-24",0.1717,0.5277
"2020-01-25",0.1235,0.3711
"2020-02-02",0.1513,0.8232
"2020-02-10",-0.0724
"2020-02-17",0.0021,0.3344
"2020-02-26",0.0618,0.3639
"2020-03-04",0.0781,0.2401
"2020-03-05",0.1288,0.3972
"2020-03-21",0.1162
"2020-03-28",0.1237
"2020-04-05",0.1389,0.3484
"2020-04-06",0.1755,0.434
"2020-04-13",0.229
"2020-04-14",0.0738
"2020-04-21",0.1366,0.366
"2020-04-29",0.1888,0.4503
"2020-05-07",0.1553,0.3827
"2020-05-08",0.1949,0.4269
"2020-05-16",0.1746
"2020-05-23",0.1879,0.2246
"2020-05-31",0.2545,0.4717
"2020-06-01",0.2078,0.4156
"2020-06-08",0.2274,0.4473
"2020-06-16",0.2611,0.4607
"2020-06-17",0.2198,0.4109
"2020-06-24",0.2058
"2020-07-02",0.2571,0.4828
"2020-07-03",0.1872,0.305
"2020-07-10",0.2208,0.4506
"2020-07-11",0.2435,0.4732
"2020-07-19",0.1975,0.39
"2020-07-26",0.2254,0.456
"2020-07-27",0.2191
"2020-08-03",0.2714,0.4948
"2020-08-11",0.225,0.3959
"2020-08-12",0.513
"2020-08-19",0.2495,0.5032
"2020-08-20",0.1898,0.4193
"2020-08-27",0.2295,0.4688
"2020-08-28",0.2525,0.4582
"2020-09-04",0.2539,0.5028
"2020-09-05",0.2134,0.4602
"2020-09-12",0.2225,0.474
"2020-09-13",0.2492,0.5051
"2020-09-20",0.2507,0.5122
"2020-09-21",0.2059,0.4418
"2020-09-28",0.1943,0.4464
"2020-09-29",0.2335,0.5046
"2020-10-06",0.2218,0.4988
"2020-10-07",0.1698,0.4198
"2020-10-14",0.1789,0.4508
"2020-10-22",0.2085,0.5082
"2020-10-30",0.1386,0.3196
"2020-10-31",0.1967,0.4553
"2020-11-08",0.1734,0.483
"2020-11-15",0.1623,0.4735
"2020-11-16",0.2034,0.5425
"2020-11-23",0.2035,0.4134
"2020-12-09",0.1795,0.6201
"2020-12-17",0.0495,0.1609
"2020-12-25",0.1897,0.6152
"2020-12-26",0.1149,0.3957
"2021-01-02",0.0738,0.4003
"2021-01-03",0.1716,0.6786
"2021-01-10",0.2639,0.8973
"2021-01-11",0.0999,0.383
"2021-01-18",0.0627,0.2603
"2021-01-27",0.2505
"2021-02-03",0.1264,0.4035
"2021-02-04",0.2799
"2021-02-11",0.1742,0.4593
"2021-02-12",0.1236,0.367
"2021-02-19",0.0615,0.3355
"2021-02-20",0.1247,0.4328
"2021-02-28",0.1004,0.2479
"2021-03-07",0.1025,0.1679
"2021-03-24",0.1249
"2021-03-31",0.1525,0.4264
"2021-04-01",0.1077,0.2648
"2021-04-08",0.2909
"2021-04-09",0.167,0.4115
"2021-04-24",0.139,0.3871
"2021-04-25",0.1715,0.4293
"2021-05-02",0.1898,0.4613
"2021-05-19",0.1785,0.4185
"2021-05-26",0.2806
"2021-05-27",0.2276,0.4387
"2021-06-03",0.2559,0.4297
"2021-06-04",0.227,0.438
"2021-06-11",0.2396,0.4281
"2021-06-12",0.2579,0.4621
"2021-06-19",0.2785
"2021-06-20",0.2506,0.4644
"2021-07-05",0.3074,0.5124
"2021-07-06",0.2767,0.4727
"2021-07-13",0.1972,0.3873
"2021-07-21",0.3134,0.5146
"2021-07-22",0.2923,0.5175
"2021-07-29",0.275,0.4933
"2021-07-30",0.294,0.5091
"2021-08-06",0.3308,0.4833
"2021-08-07",0.1362
"2021-08-14",0.2924,0.5105
"2021-08-15",0.3215,0.5323
"2021-08-22",0.3055,0.5315
"2021-08-23",0.2605,0.4737
"2021-08-30",0.264,0.467
"2021-08-31",0.2902,0.5033
"2021-09-07",0.278,0.5128
"2021-09-08",0.2563,0.4607
"2021-09-15",0.2629,0.5047
"2021-09-16",0.2708,0.5164
"2021-09-24",0.2421,0.4829
"2021-10-01",0.1134,0.0822
"2021-10-02",0.2758,0.6474
"2021-10-09",0.2503,0.5195
"2021-10-10",0.2159,0.4704
"2021-10-17",0.2151,0.4991
"2021-10-18",0.2328,0.4337
